boy cat bread bush farmer
girl dog meat flower policeman
man bird soup grass cook
woman fish apple plant doctor
baby rabbit cereal tree nurse
ball table water sun television
doll chair milk moon radio
train sofa juice star movie
game chest soda cloud ball game
toy desk tea rain band
one cup six lake pen
two plate seven rock pencil
three bowl eight dirt crayon
four fork nine field chalk
five spoon ten hill computer
shirt car fruit horse book
pants truck orange cow newspaper
dress bus grape pig magazine
shoes plane pear chicken sign
hat boat banana duck letter 
